PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID
43735,167070261,672,MZN2,5,7,1,R,1,4167417598
44498,167070261,671,MZN2,5,7,1,R,1,4167417571
44498,567308423,673,MZN2,5,7,2,L,1,4167417571
44498,567308423,674,MZN2,5,7,2,L,1,4167417571
44498,567308423,674,MZN2,5,7,2,L,1,4167417571
44498,567308423,675,MZN2,5,7,2,L,1,4167417571
44498,567308423,675,MZN2,5,7,2,L,1,4167417571
44498,167067373,676,MZN2,5,9,2,L,1,4167417571
44498,567178621,677,MZN2,5,9,2,R,1,4167417571
44498,567178621,677,MZN2,5,9,2,R,1,4167417571
44498,567178621,677,MZN2,5,9,2,R,1,4167417571
44498,167070338,678,MZN2,5,10,1,L,1,4167417571
44498,167070338,679,MZN2,5,10,1,L,1,4167417571
44498,167070338,679,MZN2,5,10,1,L,1,4167417571
44498,167044667,680,MZN2,5,13,1,L,1,4167417571
44498,167056210,681,MZN2,5,13,1,R,1,4167417571
44498,167051231,682,MZN2,5,14,1,L,1,4167417571
44498,567361475,683,MZN2,5,16,1,L,1,4167417571
44498,567276198,684,MZN2,5,16,1,R,1,4167417571
44498,567276198,684,MZN2,5,16,1,R,1,4167417571
44498,567361474,685,MZN2,5,16,2,L,1,4167417571
44498,567361474,685,MZN2,5,16,2,L,1,4167417571
